version,source,target
bitcoin-wallet-7.07-prod,wallet.data.PaymentIntent,wallet.data.PaymentIntent$Standard
bitcoin-wallet-7.07-prod,wallet.data.PaymentIntent$Output,wallet.data.PaymentIntent
bitcoin-wallet-7.07-prod,wallet.data.PaymentIntent$Standard,wallet.data.PaymentIntent
bitcoin-wallet-7.07-prod,wallet.data.SelectedExchangeRateLiveData,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.data.SelectedExchangeRateLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.SelectedExchangeRateLiveData,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,wallet.data.TimeLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.WalletBalanceLiveData,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.data.WalletBalanceLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.WalletBalanceLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.data.WalletBalanceLiveData,wallet.data.WalletBalanceLiveData$WalletListener
bitcoin-wallet-7.07-prod,wallet.data.WalletBalanceLiveData$WalletListener,wallet.data.WalletBalanceLiveData
bitcoin-wallet-7.07-prod,wallet.data.WalletLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.WalletLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothService,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothService,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothService,wallet.offline.AcceptBluetoothThread
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothThread,wallet.offline.AcceptBluetoothThread$ClassicBluetoothThread
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothThread,wallet.offline.AcceptBluetoothThread$PaymentProtocolThread
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothThread$ClassicBluetoothThread,wallet.offline.AcceptBluetoothThread
bitcoin-wallet-7.07-prod,wallet.offline.AcceptBluetoothThread$PaymentProtocolThread,wallet.offline.AcceptBluetoothThread
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask,wallet.offline.DirectPaymentTask$BluetoothPaymentTask
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask,wallet.offline.DirectPaymentTask$HttpPaymentTask
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask,wallet.offline.DirectPaymentTask$ResultCallback
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask$BluetoothPaymentTask,wallet.offline.DirectPaymentTask
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask$BluetoothPaymentTask,wallet.offline.DirectPaymentTask$ResultCallback
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask$HttpPaymentTask,wallet.offline.DirectPaymentTask
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask$HttpPaymentTask,wallet.offline.DirectPaymentTask$ResultCallback
bitcoin-wallet-7.07-prod,wallet.offline.DirectPaymentTask$ResultCallback,wallet.offline.DirectPaymentTask
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.service.BlockchainService$ImpedimentsLiveData
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.service.BlockchainService$LocalBinder
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.service.BlockchainService$NewTransactionLiveData
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.service.BlockchainService$PeerConnectivityListener
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$ImpedimentsLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$ImpedimentsLiveData,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$ImpedimentsLiveData,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$ImpedimentsLiveData,wallet.service.BlockchainState$Impediment
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$LocalBinder,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$NewTransactionLiveData,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,wallet.service.BlockchainService$PeerConnectivityListener,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,wallet.service.BlockchainState,wallet.service.BlockchainState$Impediment
bitcoin-wallet-7.07-prod,wallet.service.BlockchainState$Impediment,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,wallet.service.InactivityNotificationService,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.service.InactivityNotificationService,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.service.UpgradeWalletService,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.AbstractWalletActivity,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.AddressBookActivity,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.AddressBookActivity,wallet.ui.AddressBookActivity$TwoFragmentAdapter
bitcoin-wallet-7.07-prod,wallet.ui.AddressBookActivity,wallet.ui.SendingAddressesFragment
bitcoin-wallet-7.07-prod,wallet.ui.AddressBookActivity,wallet.ui.WalletAddressesFragment
bitcoin-wallet-7.07-prod,wallet.ui.AddressBookActivity$TwoFragmentAdapter,wallet.ui.AddressBookActivity
bitcoin-wallet-7.07-prod,wallet.ui.AlertDialogsFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.AlertDialogsFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyAmountView,wallet.ui.CurrencyAmountView$Listener
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyAmountView,wallet.ui.CurrencyAmountView$TextViewListener
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyAmountView$Listener,wallet.ui.CurrencyAmountView
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyAmountView$TextViewListener,wallet.ui.CurrencyAmountView
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyCalculatorLink,wallet.ui.CurrencyAmountView
bitcoin-wallet-7.07-prod,wallet.ui.CurrencyCalculatorLink,wallet.ui.CurrencyAmountView$Listener
bitcoin-wallet-7.07-prod,wallet.ui.EditAddressBookEntryFragment,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,wallet.ui.EditAddressBookEntryFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.EncryptKeysDialogFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.EncryptKeysDialogFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.EncryptKeysDialogFragment,wallet.ui.EncryptKeysDialogFragment$State
bitcoin-wallet-7.07-prod,wallet.ui.EncryptKeysDialogFragment$State,wallet.ui.EncryptKeysDialogFragment
bitcoin-wallet-7.07-prod,wallet.ui.Event,wallet.ui.Event$Observer
bitcoin-wallet-7.07-prod,wallet.ui.Event$Observer,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesActivity,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter,wallet.ui.ExchangeRatesAdapter$ListItem
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter,wallet.ui.ExchangeRatesAdapter$OnClickListener
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter,wallet.ui.ExchangeRatesAdapter$ViewHolder
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter$ListItem,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter$ListItem,wallet.ui.ExchangeRatesAdapter
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter$OnClickListener,wallet.ui.ExchangeRatesAdapter
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter$ViewHolder,wallet.ui.CurrencyTextView
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesAdapter$ViewHolder,wallet.ui.ExchangeRatesAdapter
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.ui.ExchangeRatesAdapter
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.ui.ExchangeRatesAdapter$OnClickListener
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesFragment,wallet.ui.ExchangeRatesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel,wallet.data.WalletBalanceLiveData
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel,wallet.ui.ExchangeRatesViewModel$ExchangeRatesLiveData
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel$ExchangeRatesLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.ExchangeRatesViewModel$ExchangeRatesLiveData,wallet.ui.ExchangeRatesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.InputParser,wallet.data.PaymentIntent
bitcoin-wallet-7.07-prod,wallet.ui.InputParser,wallet.ui.InputParser$BinaryInputParser
bitcoin-wallet-7.07-prod,wallet.ui.InputParser,wallet.ui.InputParser$StreamInputParser
bitcoin-wallet-7.07-prod,wallet.ui.InputParser,wallet.ui.InputParser$StringInputParser
bitcoin-wallet-7.07-prod,wallet.ui.InputParser$BinaryInputParser,wallet.ui.InputParser
bitcoin-wallet-7.07-prod,wallet.ui.InputParser$StreamInputParser,wallet.ui.InputParser
bitcoin-wallet-7.07-prod,wallet.ui.InputParser$StringInputParser,wallet.ui.InputParser
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceFragment,wallet.ui.MaybeMaintenanceViewModel
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel,wallet.ui.MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData,wallet.ui.MaybeMaintenanceViewModel
bitcoin-wallet-7.07-prod,wallet.ui.ProgressDialogFragment,wallet.ui.ProgressDialogFragment$Observer
bitcoin-wallet-7.07-prod,wallet.ui.ProgressDialogFragment$Observer,wallet.ui.ProgressDialogFragment
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueDialogBuilder,wallet.ui.DialogBuilder
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueDialogFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueDialogFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueDialogFragment,wallet.ui.ReportIssueViewModel
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.ReportIssueViewModel,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsActivity,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsActivity,wallet.ui.RequestCoinsActivityViewModel
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsActivityViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsFragment,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsFragment,wallet.ui.CurrencyCalculatorLink
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsFragment,wallet.ui.RequestCoinsViewModel
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel,wallet.data.ConfigOwnNameLiveData
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel,wallet.data.SelectedExchangeRateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel,wallet.ui.RequestCoinsViewModel$FreshReceiveAddressLiveData
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel$FreshReceiveAddressLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel$FreshReceiveAddressLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.RequestCoinsViewModel$FreshReceiveAddressLiveData,wallet.ui.RequestCoinsViewModel
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesFragment,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesFragment,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesFragment,wallet.ui.FancyListFragment
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesFragment,wallet.ui.SendingAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.ui.SendingAddressesViewModel$AddressesToExcludeLiveData
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel,wallet.ui.SendingAddressesViewModel$ClipLiveData
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel$AddressesToExcludeLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel$AddressesToExcludeLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel$AddressesToExcludeLiveData,wallet.ui.SendingAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel$ClipLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.SendingAddressesViewModel$ClipLiveData,wallet.ui.SendingAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$ChangeType
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$ItemAnimator
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$ListItem
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$OnClickListener
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$TransactionViewHolder
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$WarningType
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter,wallet.ui.TransactionsAdapter$WarningViewHolder
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$ChangeType,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$ItemAnimator,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$ListItem,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$OnClickListener,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$TransactionViewHolder,wallet.ui.CircularProgressView
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$TransactionViewHolder,wallet.ui.CurrencyTextView
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$TransactionViewHolder,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$TransactionViewHolder,wallet.ui.TransactionsAdapter$ListItem
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$WarningType,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.TransactionsAdapter$WarningViewHolder,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,wallet.ui.WalletActionsFragment,wallet.ui.WalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivity,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivity,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivity,wallet.ui.WalletActivity$QuickReturnBehavior
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivity,wallet.ui.WalletActivityViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivity$QuickReturnBehavior,wallet.ui.WalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.ui.WalletActivityViewModel$EnterAnimationState
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.ui.WalletActivityViewModel$WalletEncryptedLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.ui.WalletActivityViewModel$WalletLegacyFallbackLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.util.OnFirstPreDraw
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel,wallet.util.OnFirstPreDraw$Callback
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$EnterAnimationState,wallet.ui.WalletActivityViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletEncryptedLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletEncryptedLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletEncryptedLiveData,wallet.ui.WalletActivityViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletLegacyFallbackLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletLegacyFallbackLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletActivityViewModel$WalletLegacyFallbackLiveData,wallet.ui.WalletActivityViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressFragment,wallet.ui.WalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressFragment,wallet.ui.WalletAddressViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel,wallet.data.ConfigOwnNameLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel,wallet.ui.WalletAddressViewModel$CurrentAddressLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel$CurrentAddressLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel$CurrentAddressLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressViewModel$CurrentAddressLiveData,wallet.ui.WalletAddressViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesAdapter,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.ui.FancyListFragment
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.ui.WalletAddressesAdapter
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesFragment,wallet.ui.WalletAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.data.ConfigOwnNameLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.ui.Event
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.ui.WalletAddressesViewModel$ImportedAddressesLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel,wallet.ui.WalletAddressesViewModel$IssuedReceiveAddressesLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$ImportedAddressesLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$ImportedAddressesLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$ImportedAddressesLiveData,wallet.ui.WalletAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$IssuedReceiveAddressesLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$IssuedReceiveAddressesLiveData,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletAddressesViewModel$IssuedReceiveAddressesLiveData,wallet.ui.WalletAddressesViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceFragment,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceFragment,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceFragment,wallet.ui.CurrencyTextView
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceFragment,wallet.ui.WalletActivity
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceFragment,wallet.ui.WalletBalanceViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceViewModel,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceViewModel,wallet.data.SelectedExchangeRateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletBalanceViewModel,wallet.data.WalletBalanceLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerFragment,wallet.ui.WalletDisclaimerViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel,wallet.ui.WalletDisclaimerViewModel$DisclaimerEnabledLiveData
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel$DisclaimerEnabledLiveData,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel$DisclaimerEnabledLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.ui.WalletDisclaimerViewModel$DisclaimerEnabledLiveData,wallet.ui.WalletDisclaimerViewModel
bitcoin-wallet-7.07-prod,wallet.ui.WalletTransactionsFragment,wallet.Configuration
